mode;A;B;n_games;seed;wins_A;wins_B;winrate_A_pct;winrate_B_pct;winrate_A_ci95_low_pct;winrate_A_ci95_high_pct;avg_rounds_overall;avg_rounds_when_A_wins;avg_rounds_when_B_wins;n_repetitions;winrate_A_mean_pct;winrate_A_std_pct;winrate_A_min_pct;winrate_A_max_pct
simple;Random;FirstStat(poids);80;12346;35;45;43.75;56.25;32.87920339855446;54.62079660144554;51.5875;55.6;48.46666666666667;;;;;
simple;Random;MedianRatio(hist);80;12347;5;75;6.25;93.75;0.9455944018203134;11.554405598179688;51.2125;59.2;50.68;;;;;
simple;Random;MeanRatio(hist);80;12348;1;79;1.25;98.75;0.0;3.6846393470080945;39.0375;18.0;39.30379746835443;;;;;
simple;Random;MonteCarlo_random;80;12349;4;76;5.0;95.0;0.22407077104360795;9.775929228956393;43.975;61.0;43.078947368421055;;;;;
simple;Random;MonteCarlo_median;80;12350;9;71;11.25;88.75;4.325769447079336;18.174230552920665;36.1625;47.55555555555556;34.71830985915493;;;;;
simple;Random;CheatAbsolute(see both);80;12351;1;79;1.25;98.75;0.0;3.6846393470080945;35.4875;78.0;34.949367088607595;;;;;
simple;Random;CheatMedianAllCards(median global);80;12352;5;75;6.25;93.75;0.9455944018203134;11.554405598179688;36.9875;50.0;36.12;;;;;
simple;FirstStat(poids);MedianRatio(hist);80;13347;8;72;10.0;90.0;3.425960146150618;16.57403985384938;55.1;66.75;53.80555555555556;;;;;
simple;FirstStat(poids);MeanRatio(hist);80;13348;6;74;7.5;92.5;1.7281826951990236;13.271817304800976;43.175;79.0;40.270270270270274;;;;;
simple;FirstStat(poids);MonteCarlo_random;80;13349;10;70;12.5;87.5;5.25280226570297;19.74719773429703;41.15;58.2;38.714285714285715;;;;;
simple;FirstStat(poids);MonteCarlo_median;80;13350;7;73;8.75;91.25;2.557991541510945;14.942008458489052;36.4625;50.285714285714285;35.136986301369866;;;;;
simple;FirstStat(poids);CheatAbsolute(see both);80;13351;1;79;1.25;98.75;0.0;3.6846393470080945;48.3625;12.0;48.822784810126585;;;;;
simple;FirstStat(poids);CheatMedianAllCards(median global);80;13352;4;76;5.0;95.0;0.22407077104360795;9.775929228956393;31.6;45.5;30.86842105263158;;;;;
simple;MedianRatio(hist);MeanRatio(hist);80;14348;45;35;56.25;43.75;45.37920339855446;67.12079660144555;60.5625;61.68888888888889;59.114285714285714;;;;;
repetitions;MedianRatio(hist);MonteCarlo_random;250;14349;;;;;;;56.2784;;;5;47.68;1.9332873557751324;45.6;51.2
repetitions;MedianRatio(hist);MonteCarlo_median;250;14350;;;;;;;54.891200000000005;;;5;41.12;4.213502106324381;36.0;45.2
repetitions;MedianRatio(hist);CheatAbsolute(see both);250;14351;;;;;;;59.9784;;;5;18.32;1.3242356285797485;16.4;20.0
simple;MedianRatio(hist);CheatMedianAllCards(median global);80;14352;37;43;46.25;53.75;35.324126179110436;57.175873820889564;54.1375;55.67567567567568;52.81395348837209;;;;;
simple;MeanRatio(hist);MonteCarlo_random;80;15349;37;43;46.25;53.75;35.324126179110436;57.175873820889564;53.6125;53.67567567567568;53.55813953488372;;;;;
simple;MeanRatio(hist);MonteCarlo_median;80;15350;37;43;46.25;53.75;35.324126179110436;57.175873820889564;55.6125;58.972972972972975;52.72093023255814;;;;;
simple;MeanRatio(hist);CheatAbsolute(see both);80;15351;10;70;12.5;87.5;5.25280226570297;19.74719773429703;64.1;73.4;62.77142857142857;;;;;
simple;MeanRatio(hist);CheatMedianAllCards(median global);80;15352;28;52;35.0;65.0;24.547942786226244;45.452057213773756;58.2;61.357142857142854;56.5;;;;;
repetitions;MonteCarlo_random;MonteCarlo_median;250;16350;;;;;;;49.535199999999996;;;5;45.36;3.0421045346930478;40.0;49.2
repetitions;MonteCarlo_random;CheatAbsolute(see both);250;16351;;;;;;;59.6176;;;5;16.96;1.422111106770495;15.6;19.6
simple;MonteCarlo_random;CheatMedianAllCards(median global);80;16352;34;46;42.5;57.5;31.66723142497727;53.332768575022726;59.225;64.11764705882354;55.608695652173914;;;;;
